Price Hub,Trade Date,Delivery Start Date,Delivery End Date,High Price $/MWh,Low Price $/MAWh,Wtd avg price $/MWh,Change,Daily Volume MWh,Number of Trades,Number of Counterparties 
Mid C Peak,12/28/2022,12/29/22,12/29/22,228.00,215.00,222.20,7.18,"29,200",72,18
Mid C Peak,12/29/2022,12/30/22,12/31/22,123.00,115.00,119.45,-102.75,"30,400",38,11
Mid C Peak,12/30/2022,01/03/23,01/03/23,175.00,165.00,169.60,50.15,"2,000",5,5
Mid C Peak,1/3/2023,01/04/23,01/04/23,200.00,170.00,180.23,10.63,"10,400",26,13
Mid C Peak,1/4/2023,01/05/23,01/05/23,163.00,146.00,155.14,-25.09,"10,400",26,13
Mid C Peak,1/5/2023,01/06/23,01/07/23,160.00,150.00,155.06,-0.08,"14,400",18,9
Mid C Peak,1/6/2023,01/09/23,01/09/23,170.00,140.00,160.69,5.63,"13,600",34,15
Mid C Peak,1/9/2023,01/10/23,01/10/23,180.00,171.00,175.11,14.42,"13,200",33,16
Mid C Peak,1/10/2023,01/11/23,01/11/23,168.00,152.00,161.02,-14.09,"12,400",31,14
Mid C Peak,1/11/2023,01/12/23,01/13/23,145.00,127.00,131.41,-29.61,"27,200",34,16
Mid C Peak,1/12/2023,01/14/23,01/14/23,185.00,165.00,172.75,41.34,"12,800",29,13
Mid C Peak,1/13/2023,01/16/23,01/17/23,137.50,127.00,130.78,-41.97,"14,400",18,12
Mid C Peak,1/17/2023,01/18/23,01/18/23,170.00,158.00,166.20,35.42,"13,200",33,13
Mid C Peak,1/18/2023,01/19/23,01/19/23,168.00,163.00,165.27,-0.93,"11,200",28,15
Mid C Peak,1/19/2023,01/20/23,01/21/23,170.00,165.00,168.35,3.08,"14,400",18,12
Mid C Peak,1/20/2023,01/23/23,01/23/23,140.00,131.00,135.08,-33.27,"5,200",13,6
Mid C Peak,1/23/2023,01/24/23,01/24/23,147.00,141.00,144.50,9.42,"4,000",10,9
Mid C Peak,1/24/2023,01/25/23,01/25/23,160.00,140.00,149.26,4.76,"10,000",25,10
Mid C Peak,1/25/2023,01/26/23,01/26/23,150.00,140.00,142.68,-6.58,"12,000",29,13
Mid C Peak,1/26/2023,01/27/23,01/28/23,73.00,61.00,66.84,-75.84,"30,400",38,16
Mid C Peak,1/27/2023,01/30/23,01/30/23,175.00,160.00,169.84,103.00,"7,600",19,15
Mid C Peak,1/30/2023,01/31/23,01/31/23,102.00,95.00,99.17,-70.67,"9,200",23,15
Mid C Peak,1/31/2023,02/01/23,02/01/23,110.00,99.00,106.93,7.76,"14,800",37,12
Mid C Peak,2/1/2023,02/02/23,02/02/23,146.00,130.00,141.01,34.08,"20,400",51,16
Mid C Peak,2/2/2023,02/03/23,02/04/23,60.00,49.00,53.91,-87.10,"48,000",58,15
Mid C Peak,2/3/2023,02/06/23,02/06/23,50.00,48.00,49.18,-4.73,"10,400",25,12
Mid C Peak,2/6/2023,02/05/23,02/06/23,51.00,45.00,48.18,-1.00,"10,000",25,8
Mid C Peak,2/7/2023,02/08/23,02/08/23,55.00,53.00,54.41,6.23,"12,000",30,14
Mid C Peak,2/8/2023,02/09/23,02/09/23,67.00,63.00,65.38,10.97,"14,800",35,15
Mid C Peak,2/9/2023,02/10/23,02/11/23,61.50,58.00,60.04,-5.34,"28,800",36,15
Mid C Peak,2/10/2023,02/13/23,02/13/23,56.00,49.00,54.73,-5.31,"16,400",41,14
Mid C Peak,2/13/2023,02/14/23,02/14/23,78.00,74.00,76.37,21.64,"12,000",30,15
Mid C Peak,2/14/2023,02/15/23,02/15/23,83.00,74.00,77.39,1.02,"15,600",38,16
Mid C Peak,2/15/2023,02/16/23,02/17/23,85.00,78.00,82.43,5.04,"24,000",30,15
Mid C Peak,2/16/2023,02/18/23,02/18/23,58.00,51.00,54.71,-27.72,"19,200",48,13
Mid C Peak,2/17/2023,02/20/23,02/21/23,57.00,53.00,55.64,0.93,"40,000",50,14
Mid C Peak,2/21/2023,02/22/23,02/22/23,85.00,77.00,81.78,26.14,"11,600",29,14
Mid C Peak,2/22/2023,02/23/23,02/23/23,200.00,162.00,179.79,98.01,"16,400",41,19
Mid C Peak,2/23/2023,02/24/23,02/25/23,300.00,200.00,247.69,67.90,"38,400",47,20
Mid C Peak,2/24/2023,02/27/23,02/27/23,128.00,113.00,120.79,-126.90,"8,400",21,11
Mid C Peak,2/27/2023,02/28/23,02/28/23,93.00,85.00,87.65,-33.14,"14,800",37,16
Mid C Peak,2/28/2023,03/01/23,03/01/23,120.00,97.00,112.46,24.81,"15,200",38,18
Mid C Peak,3/1/2023,03/02/23,03/02/23,98.00,91.00,94.50,-17.96,"7,600",19,14
